"Now a days it's very useful for daily usage. It have good pickup power. It have 51 km/h speed. I travel daily 60-70 km. It saves 100-150rupees per day. But body quality is not well, If they can improve body quality, it is the best scooter....","['Daily Commute', '6 months-1 yr', '10000-15000 kms', '']"
"When i go for inquiry in hero electric ,i liked this scooter in first look. Sales person was also good but not have too much knowledge,even he was little bit confused for some technical parts. Amazing classic look noise free very good .Speed is also good for city commut...","['Daily Commute', '3-6 months', '< 5000 kms', '']"
"Every one attract towards bike looking at green number plate i.E. Eco-friendly model no fuel no voice but still needed some changes in this model, to change over button in front panel of the bike needed; both batteries is to be separated fiber to avoid collision. Head l...","['Daily Commute', '< 3 months', '< 5000 kms', '']"
Great scooter at this price range.It is very helpful for our environment also fuel price is increasing in every months .It also a good option to those people who love the nature.It also not produce noise and get charged very quickly and it is powerful give 45 high speed...,"['Leisure Rides', '< 3 months', '< 5000 kms', '']"
The salesmen are very good.They explained everything to me and my family. I liked the service.And now the scooter is the best thing.It's features and capacity is best The price is also reasonable. The Scooter should given as a award :Best scooter for the year.And i want...,"['Daily Commute', '> 1 yr', '> 15000 kms', '']"
"1. Great - owner of hero electric showroom is one of the best person in my life2. Hero electric photon riding is very smooth3. Looks of photon is much better like activa and performance is very high 4. Servicing and maintenance - no cost5. Pros-light weight, quick picku...","['Daily Commute', '3-6 months', '< 5000 kms', '']"
Brought last week. Dealer is very cordial bike appearance super. Riding super. Mileage as assured. Super sackings value for the money in highways i felt as if going in pushpak. I found following disadvantages. 1. Front luggage box edges very sharp and their finishing fi...,"['Daily Commute', '< 3 months', '< 5000 kms', '']"
Problems with hero electric photon bike are:1. 6 lead acid batteries make it heavier2. Bike bumper gets hit hart when crossing speed breakers and uneven roads 3. Lead acid batteries does not last long4. Batteries needs rotation every 3 months..... Hero service center ne...,"['Daily Commute', '> 1 yr', '5000-10000 kms', '']"
I have bought hero electric photo IP model in September 2019. I have just completed nearly 4000 km's the battery has gone down and the shop which sold me has taken the battery for replacement the battery is trontek lithium make. The show room man is telling it will take...,"['Occasional Commute', '6 months-1 yr', '< 5000 kms', '']"
"Great look, economic price, i ride my friend hero electric,i too want to buy.Once i ride this i wish to own it, as i am a teacher it is very useful to go to school , to go to market with double seat also. Really appreciate it as it is useful to our environment friendly,...","['Daily Commute', 'Never owned', '']"
"Service and maintenance- even a small fix for breaks can only be fixed by hero electric showroom. Because parts are not available in open market, other mechanics are scared to touch these vehicles. And showrooms charge too much of price for even a small fix. Mechanics a...","['Occasional Commute', '> 1 yr', '5000-10000 kms', '']"
"I bought this scooter in November 20 in Jabalpur (MP). My daily commute is around 30-35 kms. With the speed and pickup, there is no compromise when compared to other petrol heads. The top speed is 55 km/h, and battery lasts for around 85 kms. This vehicle is very light ...","['Daily Commute', '6 months-1 yr', '< 5000 kms', '']"
Having owned a new type of automobile gives a thrill but all got drained when i was riding amidst a busy traffic. It is so silent; it does have initial grunt or a kind of adrenaline induced jerk that all make proud. The handling is quite nimble but the ride quality is b...,"['Everything', '< 3 months', '< 5000 kms', '']"
"For me its best for for riding smooth. No petrol, free of cost and pollution free .. I personally use it daily for going to market and little bit and sometimes also went to city for long run with my scooty.. Great performance till now and i always enjoyed it while drivi...","['Occasional Commute', '< 3 months', '< 5000 kms', '']"
"I bought this vehicle and found that the open charging port, where we connect the charger is showing 80 volts voltage always and it is very dangerous safety point. Build quality is also very poor, poor plastic used. Very poor quality seat and hinge is also very cheap. F...","['Daily Commute', '< 3 months', '< 5000 kms', '']"
Electric bikes and scooters are the future of mobility. Skyrocketing fuel prices are forcing people to consider more practical alternatives such as electric bikes and cars. With a great range of electric bikes and electric scooters in India by popular automakers like he...,"['Daily Commute', 'Occasional Commute', 'Never owned', '']"
"I have bought photon. This was one of the worst electric scooter I have used .The turning radius of scooter is too much and if you are on highway, you need to go to other side while turning. It's front head light is too big and light is too low. You cannot see potholes ...","['Occasional Commute', '< 3 months', '< 5000 kms', '']"
"Its really a tough bike to move in streets like villages and small towns. Quality of these bikes are awesome, feels difference about your daily expense. U can use this bike for your office, for buying of vegetables also for a ride with your son or wife to enjoy the outs...","['Everything', '< 3 months', '> 15000 kms', '']"
I booked online via paytmI got delivery on 15th dayAs i saw the bike it was awesome.From company it is claimed that the the maximum speed of the bike is 45kmplBut i got 55kmpl excellentLooks are same as vespa but from back side it looks too small like old scooty pepYou ...,"['Everything', '> 1 yr', '< 5000 kms', '']"
It is very good for economy because petrol price is high level. So i want to purchase hero photon just. My father is retired person .Now my father is farmer. So l want to gift a photon bike. It's speed is so good and maintenance is low. It so comfortable in all respect ...,"['Occasional Commute', '< 3 months', '< 5000 kms', '']"
"I used my friends bike. In future i will definitely purchase hero e bikes. Excellent in mileage. Speed 60 kms. Pickup in 7 seconds. Eco friendly. No pollution. Good future of e bikes in India hero bikes trust of 70% Indians. Dynamic looks, maintenance cost is lower than...","['Daily Commute', 'Never owned', '']"
"This bike is awesome because if i charged once in a day this is sufficient for my whole day use. Bike appearance is so pretty & value for money. If you riding this scooter then you will defiantly realize comfortness, most amazing fact is i am not wasting my money on pet...","['Everything', '6 months-1 yr', '< 5000 kms', '']"
"Battery backup very very bad 1 year two times battery change bad results battery used nine months and replace battery new battery second time battery changed after four months, third time battery replaced, eight months results not satisfied with battery performance of p...","['Daily Commute', '6 months-1 yr', '10000-15000 kms', '']"
"Buying experience:- within 20 days, vehicle got registered and delivered Riding experience:- turning radius is too much, which creates problem during turning. This bike is not suited for roads, which is having potholes. Shock absorber performance is not that good, due t...","['Daily Commute', '< 3 months', '< 5000 kms', '']"
Awesome riding experience i feel very proud and also economically efficient. I would like to suggest everyone to suggest this bike to purchase experience the best.I feel 0 jerk on broken road. Looking sharp. Me and my wife enjoying drive. This is the good quality of thi...,"['Daily Commute', '> 1 yr', '< 5000 kms', '']"
"The price according to petrol segment is high, but its cheaper than daily money we spend on petrol. Its very comfortable in riding. It's very smooth,and no noisy. The look are amazing, with round headlight. Front disc brake, comfortable seat, and a mobile charging port....","['Daily Commute', '> 1 yr', '10000-15000 kms', '']"
Yes i have searched a lot for this bike find best under 50000 and i also find it very efficient only exception review is bad and i also want a top speed of 45 but as i ride on 55 with no problem so the very good thing is very much efficient bike i got under 50000 so my ...,"['Daily Commute', 'Never owned', '']"
"I am using photon 72v from past 6 months.I was initial happy with the performance but, sad part is this bike is not fit for Indian roads, 1. Sudden brake and brake shoe broke 2. Speedometer not working 3. One very small impact in a pothole mudguard is broken 4. Battery ...","['Daily Commute', '6 months-1 yr', '< 5000 kms', '']"
Hi i have purchased hero electric photon 72 v i enjoyed the ride up to 7 months after that it may not travel at-least 20 km i taken for service but they not replace the battery till now and my bike in service centre from three months and no proper response from dealer a...,"['Daily Commute', '6 months-1 yr', '5000-10000 kms', '']"
"Review will be quite bigger but its worth it, i hope,I strongly believed in hero electric , but bit disappointed on the vehicle i got, due to some problems in it. But will keep updating whether it got rectified or not & also the bikes performance in diff timelines in up...","['Daily Commute', '< 3 months', '< 5000 kms', '']"
"The photon scooty is too much better to all electronic scooty ... So that ...1...Best mileage (if u want to go any relatives, friends meeting, emergency, travel so...Very. Very good if u save money with save earth.. Pollution no..Any carbon-dioxide bad effect to all Ind...","['Daily Commute', '6 months-1 yr', '5000-10000 kms', '']"
My husband gifted me this bike . When i started the use of this bike for my job that time i realised that how beautifully it works. But it should be more stylish like petrol bike. If we talk about its pros and cons that bike is very comfortable in riding but only it sho...,"['Daily Commute', '3-6 months', '< 5000 kms', '']"
"I purchased an li ion photon bike and it comes around 96,000 after all insurance and rto and i ridden the bike for more than 8 months in that the bike get faulted more than 20 times of relay melting wire melting the service center employees are recalcitrant after i resa...","['Daily Commute', '> 1 yr', '5000-10000 kms', '']"
Hero electric scooters are amazing...I love it so much...And its an best innovation for the future ..Which is economical ...I should recommend to to all the customers to get an amazing experience ...It having the charging port which nowadays people have to face big prob...,"['Occasional Commute', '< 3 months', '< 5000 kms', '']"
"Hero photon is hands down the most eye candy scooter in the segment and delivers great performance. The scooter is powered electrically and is eco friendly. I really like the comfortable seating in the scooter, which can easily seat up to two occupants. The engine runs ...","['Daily Commute', '6 months-1 yr', '5000-10000 kms', '']"
Looking too smart while riding and in seeing Hero photon is too goodHero is one of the best company we already using to bikes of hero We need to buy this also asapPrice also not high good one for every ladies and children too drive this bike so we suggest everyone to ri...,"['Daily Commute', 'Never owned', '']"
Very very bad and cheap quality In this price range many many more ev bikes are better than this one Everything is bad I ride 5000 km and i experience my all friends are using ev bikes and when i compare with other abbe by hero photo and bye is very bad and cheap qualit...,"['Daily Commute', '> 1 yr', '5000-10000 kms', '']"
"Scooty tires are very small which gives an absolutely bad feel. Driving the scooty on the road gets stuck on the breaker. Bounces a lot when it comes to the pit, everything else is fine on a single charge, it runs 80 to 85 km in the local while the company has promised ...","['Daily Commute', '< 3 months', '< 5000 kms', '']"
"After the release of ola scooter and especially simple one, I feel cheated. Even a small company like simple one is exceeding by far on every aspect (203 km range, 72 nm torque etc.). Ather has been extorting money in the name of fancy vehicle. Taking advantage of consu...","['Everything', 'Never owned', '']"
I got the bike delivery within 10 days of the order. A very good experience riding the bike. Looks are very attractive performance is best in the segment and live feature is amazing with the online app of ather. The only problem is the range is only 70km after full char...,"['Everything', '< 3 months', '< 5000 kms', '']"
Loved this amazing swadeshi-made vehicle!!! very good performance without any problem. Storage space is quite spacious. The back footrest is very comfortable. Reverse gear is an added advantage. Charging is very easy. Looks good. Customer service is fine. Overall good p...,"['Everything', '3-6 months', '< 5000 kms', '']"
Superb riding experience and its too smooth. Every one should ride the Ather scooter also good mileage and speed on traffic area....,"['Daily Commute', '> 1 yr', '< 5000 kms', '']"
"Riding experience is good but the cost wise its very costly also the price mentioned in ""bikewale"" is also wrong, and its range is the second brand killer for Ather 450x with only 85 kms in a single charge. Ather 450x is the costliest electric scooter in India, its on r...","['Daily Commute', '6 months-1 yr', '5000-10000 kms', '']"
"To conserve our environment, use of electric vehicles is an proactive action. Electric vehicles help reduce vehicular pollution, noise pollution, greenhouse gas emissions and more. In upcoming years, India is becoming an EV superpower since many e-mobility companies suc...","['Everything', 'Never owned', '']"
"Best electric vehicle this is. Compared to ola and other electric vehicles this is the best I have felt. Though ola gives more range than Ather. For example Ather is like Samsung and iPhone. Others are like oppo, vivo and mi. |From my experience I drive daily for 40-50 ...","['Daily Commute', '< 3 months', '< 5000 kms', '']"
Took a small test drive. Experience was good. The vehicle body frame and design are good. Belt drive may be a under design. The mileage of 85 kms per charge is very low compared to what claimed by ola and simple one. Very very highly priced. (on road rs1.51/- at Chennai...,"['Daily Commute', 'Never owned', '']"
