Wanna buy this bike so i gave basic information to the company to get response but only fraudsters calls me in the name of revolt for online fraud so there's a data leakage also besides this i've changed my mind to buy this after reading reviews of owners and company re...,"['Everything', 'Never owned', '']", 1
"This is simply amazing and exceptionally well and good. The price seems to be little bit high when compare to its features. I have fully satisfied with the stylish in two variant colors. It would be more better if you can add one more gray color. I believe, this going b...","['Everything', '> 1 yr', '< 5000 kms', '']", 5
"Battery life is good, I like this bike very much. no tension of refueling. In city riding it is the best I have ever seen. The special about this bike is 7 year battery makes trusted vehicle. It is the first even electric bike. Performance are as per below 1. At maximum...","['Everything', '< 3 months', '< 5000 kms', '']", 5
I seen this bike on road. Very nice bike and good for drive and no pollution .This bike pollution free this is very good . My dream buy this bike .This bike all city drive and very good for highway . I am very excited for buy this bike .My dream this bike buy and drive ...,"['Everything', 'Never owned', '']", 5
"I have a rv400 I have the bike for almost more than a year now, never ever the bike gave me an average of more than 70 kms in a single full charge, I hardly get 65 kms on mode 1. Informed the same to the service center, they asked me to swap the battery, done it many ti...","['Daily Commute', '> 1 yr', '5000-10000 kms', '']", 1
Buying experience of Revolt 400 bike. It is usually in Tamulpur Assam. About looks and performance its good but am looking forward to service and maintenance....,"['Leisure Rides', '> 1 yr', '> 15000 kms', '']", 3
"We'll, this bike will meet the interests of many Indians, in many factors, excluding a few like riding range and speed. But still, if you're daily riding range is less than 130-120 kms and able to maintain an idle speed of 60 to 70 km/h, then this bike will serve you th...","['Leisure Rides', 'Never owned', '']", 5
"Buying experience is awesome, riding performance is great than oil bikes, coming to looks it's very pretty like sports bike, good servicing and maintenance by showroom. I very thankful to my brother who gave me suggestion to buy the electric bike revolt rv400 and now i ...","['Daily Commute', '6 months-1 yr', '< 5000 kms', '']", 5
Value for money. Really a thumbs up for the bike as petrol prices have gone up this bike is like a game changer for bike lovers its performance looks and running cost of bike are really impressive and now when government is giving subsidy everyone should change their bi...,"['Everything', 'Never owned', '']", 5
"Please give protection to the battery, because once my neighbor was searching for his battery, someone stole his battery from parking. There is no protection to the battery given by the company so please understand....","['Daily Commute', 'Never owned', '']", 4
"First of all , it's a great bike for daily use , you will not have any problem if you are going to use it for traveling daily 30 to 40 kms , but when it comes to weight it is a little more but we have to compromise it to have a great motor power. It was not available fo...","['Daily Commute', '3-6 months', '5000-10000 kms', '']", 4
Very very bad customer service.... Booked revolt 9 months ago!!!! and still have not received the vehicle... And not response from the company.... Called more than 10 times... And no response.... They say it will be delivered the coming week but it has been 9 months and...,"['Everything', 'Never owned', '']", 1
"Best bike. It is a royal bike,feels like young and energetic, very comfortable and good safety. My dream: revolt. Revolt is my love. Can silencer change bike. Superb royal bike.Best performance. King of roads. Energy saving, pollution free bike. King of electric bikes t...","['Daily Commute', 'Never owned', '']", 5
E bike look is so so so amazing. We does not have a bike but i show a video which is very epic. E bike look like or feel like ktm. The bounce point is this bike feels like a pro Its an eco friendly bike. E bike does not harm the environment....,"['Tours', 'Never owned', '']", 5
"The price of the vehicle is very good it's in offer able price. You get a feel of riding a sports bike. It looks as a sports bike, when you move on the road all public eyes will be on your bike. Best part of it is, it has 4 kinds of sports sound you can add any sounds y...","['Everything', '< 3 months', '< 5000 kms', '']", 5
Absolutely terrible as no one in revolt is responding to the query and the wait till still continues after 7 months? sarcastic and going on booking further orders to accumulate crores and there is no word on the delivery. Customer service never responds to any queries a...,"['Daily Commute', '3-6 months', '< 5000 kms', '']", 1
Awesome bike with awesome features but I need a bike to go the stadium. every day i go the stadium by cycle which is so hard. I can't purchase it because I am a student and a athlete also....,"['Daily Commute', 'Never owned', '']", 5
Amazing buying experience. Revolt team is cooperative and explained the feature thrice to me. And picked my call and responding on whatsapp. As we know looks are amazing I am getting 130 to 140 km in single charge on eco mode. Pros Good looking bike No petrol expenditur...,"['Everything', '< 3 months', '< 5000 kms', '']", 5
Nice bike electric Good in looks Easy to charge Best performance Low cost maintenance 4.5 hours charging No pollution problem Maintenance of motor and battery Revolt rv 400 riding range is 80-150 km Revolt rv 400 top speed 45-85 km/h Revolt rv 400 kerb weight is 108 kg ...,"['Daily Commute', '> 1 yr', '> 15000 kms', '']", 5
"Very bad experience even before I start using it, I booked on Oct. 21 with 3 months waiting period, but after 5 months (on Mar. 22) after chasing again & again they handover bike to me but without a charger (saying the charger may be available within 2-3 days). But toda...","['Daily Commute', '< 3 months', '< 5000 kms', '']", 2
"Nice bike Better riding experience Better technology like sounds Everything is awesome, take a ride A very smooth and powerful feeling Riding like a sport one ....... Amazing breaking and throttling giving mind full of joys and happiness. Looking vise is an amazing beas...","['Leisure Rides', 'Never owned', '']", 5
"Don't buy revolt it's worthless. Worst buying experience I took a test ride in Pune city and found it a good ev option better than the scooter option. Booked on Nov 21, buy paying 20k as booking amount, got slot of Feb-mar 22. To date didn't receive a bike. They don't h...","['Everything', 'Never owned', '']", 1
Revolt motors is a fraud company. They provided a booking to me in december 2021 at navi mumbai hub and promised delivery by march-April 2022. All questions regarding booking to their customer support were redirected to say my delivery date is not yet near so the dealer...,"['Daily Commute', '> 1 yr', '< 5000 kms', '']", 1
"This is very good bike to ride comfortable also.This bike is very friendly to environment,not produce any of pollution that's why this bike is so successful . The battery backup is also very good my bike giving me above 150 km range with one time full charge and it is e...","['Daily Commute', '3-6 months', '< 5000 kms', '']", 4
"Details about looks, performance, no pollution, less investment with value your money. Quality of the product and features added bike, nice insurance policy with bike tiers replacement policy.India's no one electric bike. Supper mileage at one time charging, i thing it ...","['Daily Commute', 'Never owned', '']", 5
It's a good and eco friendly bike. Very less maintenance and it's like you are riding normal bike.. You can drive on highway also but company should built-in charging station on at-least main highway and city..Future is for electric bike and go and grab this beauty..Wil...,"['Daily Commute', '6 months-1 yr', '< 5000 kms', '']", 4
Revolt bikes are the best budget friendly bike in India in the next 2020.Both the bike revolt 300 and revolt 400 looking great having unique features.For the college students it is the best option.Further may revolt bikes put some more amazing unique sound from its ridi...,"['Daily Commute', '< 3 months', '< 5000 kms', '']", 4
"Well, 1st of all its totally visually appealing. Awesome ergonomics, built quality looks premium.Although it is an electric bike its safer for our environment also, so i congratulate revolt to bring the future in our reach. Now its time for the truth, the most important...","['Daily Commute', 'Never owned', '']", 4
"1. In terms of power and design of the bike, you can compare it with any 150 cc bike available in market like ""pulsar, fz etc."" which ranges from Rs. 70,000 to 90000. However, you would be paying around 1,50,000 for this bike. Plus side - eco friendly Negative side - tw...","['Daily Commute', 'Never owned', '']", 3
This bike is very useful & pollution free and his feature is a very good like ai system and app control.The bike battery charge power is very good and mileage is a very very high compare to other electric bike ans this is 1st electric bike in India and company's emi pla...,"['Daily Commute', 'Never owned', '']", 5
